
Index,Match Result,Hero_1,Hero_2,Hero_3,Hero_4,Hero_5
1052,Victory,Brody,Xavier,Terizla,Ling,Lolita
1053,Victory,Beatrix,Freya,Xavier,Atlas,Helcurt
1054,Defeat,Franco,Terizla,Nana,Natan,Helcurt
1055,Victory,Kaja,Terizla,Nana,Natan,Helcurt
1056,Victory,Nana,Brody,Franco,Helcurt,Terizla
1057,Defeat,Nana,Edith,Melissa,Alpha,Helcurt
1058,Victory,Nana,Natan,Edith,Badang,Helcurt
1059,Defeat,Estes,Nana,Martis,Guinevere,Beatrix
1060,Defeat,Vexana,Aldous,Hanabi,Selena,Dyrroth
1061,Victory,Helcurt,Brody,Baxia,Atlas,Valir
1062,Victory,Estes,Bane,Helcurt,Valentina,Beatrix
1063,Defeat,Moskov,Alice,Yve,Roger,Chou
1064,Victory,Beatrix,Xavier,Roger,Uranus,Atlas
1065,Defeat,Roger,Diggie,Moskov,Xavier,Balmond
1066,Defeat,Roger,Benedetta,Beatrix,Vexana,Atlas
1067,Defeat,Minsitthar,Roger,Xavier,Alpha,Beatrix
1068,Defeat,Lapu-Lapu,Roger,Kadita,Moskov,Khufra
1069,Defeat,Clint,Fredrinn,Vexana,Roger,Kaja
1070,Defeat,Estes,Dyrroth,Hanabi,Martis,Pharsa
1071,Victory,Lolita,Roger,Brody,Alpha,Yve
1072,Defeat,Hanabi,Vexana,Freya,Atlas,Dyrroth
1073,Victory,Martis,Beatrix,Kadita,Edith,Dyrroth
1074,Victory,Xavier,Gloo,Lesley,Esmeralda,Roger
1075,Victory,Edith,Chou,Vale,Hanabi,Roger
1076,Defeat,Roger,Hanabi,Fredrinn,Franco,Nana
1077,Victory,Atlas,Jawhead,Irithel,Roger,Pharsa
1078,Victory,Estes,Saber,Kagura,Miya,Dyrroth
1079,Defeat,Harith,Roger,Leomord,Hanabi,Kadita
1080,Victory,Kagura,Roger,Aldous,Minsitthar,Brody
1081,Defeat,Beatrix,Roger,Atlas,Edith,Pharsa
1082,Defeat,Gloo,Kadita,Lancelot,Melissa,Kagura
1083,Victory,Faramis,Khufra,Claude,Fredrinn,Lancelot
1084,Victory,Khufra,Lapu-Lapu,Lancelot,Faramis,Brody
1085,Victory,Gloo,Lancelot,Valentina,Beatrix,Lolita
1086,Defeat,Kaja,Selena,Lesley,Fanny,Badang
1087,Victory,Kaja,Diggie,Lunox,Ling,Beatrix
1088,Defeat,Arlott,Lancelot,Kaja,Yve,Beatrix
1089,Defeat,Lapu-Lapu,Khufra,Pharsa,Lancelot,Lesley
1090,Victory,Khufra,Lancelot,Valentina,Benedetta,Claude
1091,Victory,Lapu-Lapu,Pharsa,Wanwan,Lancelot,Kaja
1092,Victory,Faramis,Brody,Dyrroth,Khufra,Lancelot
1093,Victory,Yve,Lancelot,Claude,Esmeralda,Kadita
1094,Victory,Gloo,Valentina,Claude,Kadita,Lancelot
1095,Victory,Yve,Gloo,Beatrix,Minsitthar,Lancelot
1096,Victory,Gloo,Khufra,Claude,Yve,Lancelot
1097,Victory,Gloo,Valentina,Moskov,Grock,Lancelot
1098,Victory,Gloo,Pharsa,Lesley,Khufra,Lancelot
1099,Defeat,Gloo,Khufra,Claude,Kadita,Lancelot
1100,Victory,Gloo,Yve,Claude,Khufra,Lancelot
1101,Victory,Gloo,Khufra,Claude,Valentina,Lancelot
1102,Defeat,Melissa,Pharsa,Edith,Gusion,Minsitthar
1103,Victory,Franco,Lapu-Lapu,Valentina,Lesley,Kimmy
1104,Victory,Franco,Valentina,Beatrix,Kimmy,Benedetta
1105,Victory,Wanwan,Pharsa,Kimmy,Chou,Franco
1106,Victory,Melissa,Kimmy,Xavier,Lapu-Lapu,Franco
1107,Defeat,Wanwan,Grock,Kimmy,Pharsa,Akai
1108,Victory,Akai,Nana,Kimmy,Clint,Aldous
1109,Victory,Freya,Popol and Kupa,Kimmy,Valentina,Kaja
1110,Victory,Faramis,Popol and Kupa,Kimmy,Chou,Freya
1111,Victory,Faramis,Kimmy,Mathilda,Popol and Kupa,Freya
1112,Victory,Freya,Kadita,Kaja,Kimmy,Claude
1113,Victory,Kimmy,Jawhead,Valentina,Brody,Freya
1114,Victory,Wanwan,Arlott,Freya,Harith,Kimmy
1115,Defeat,Freya,Valentina,Kimmy,Karrie,Chou
1116,Victory,Harith,Freya,Wanwan,Kimmy,Minsitthar
1117,Victory,Valentina,Freya,Minsitthar,Brody,Kimmy
1118,Defeat,Minotaur,Argus,Yve,Kimmy,Lesley
1119,Defeat,Faramis,Kadita,Benedetta,Hilda,Kimmy
1120,Defeat,Brody,Lunox,Arlott,Kimmy,Kadita
1121,Defeat,Kimmy,Yu Zhong,Melissa,Minsitthar,Nana
1122,Defeat,Balmond,Sun,Lylia,Valir,Moskov
1123,Defeat,Bruno,Chou,Moskov,Franco,Kagura
1124,Defeat,Valentina,Moskov,Martis,Kaja,Yve
1125,Defeat,Vexana,Hanabi,Edith,Minotaur,Aamon
1126,Victory,Vexana,Khufra,Valentina,Moskov,Terizla
1127,Victory,Valentina,Edith,Moskov,Minotaur,Vexana
1128,Defeat,Vexana,Terizla,Moskov,Minsitthar,Benedetta
1129,Defeat,Vale,Johnson,Yi Sun-shin,Terizla,Moskov
1130,Victory,Valentina,Terizla,Moskov,Atlas,Vale
1131,Defeat,Brody,Franco,Harley,Aamon,Edith
1132,Victory,Xavier,Edith,Kadita,Aamon,Hanabi
1133,Victory,Edith,Lesley,Khufra,Cyclops,Eudora
1134,Defeat,Edith,Martis,Johnson,Xavier,Claude
1135,Defeat,Terizla,Lesley,Estes,Vale,Yi Sun-shin
1136,Victory,Melissa,Vexana,Edith,Paquito,Atlas
1137,Victory,Joy,Clint,Terizla,Franco,Fanny
1138,Victory,Chou,Beatrix,Edith,Pharsa,Fredrinn
1139,Defeat,Lolita,Popol and Kupa,Edith,Brody,Pharsa
1140,Victory,Vexana,Kaja,Edith,Moskov,Jawhead
1141,Defeat,Vexana,Edith,Jawhead,Kaja,Moskov
1142,Defeat,Lapu-Lapu,Claude,Pharsa,Khufra,Aamon
1143,Defeat,Pharsa,Wanwan,Lolita,Aamon,Lapu-Lapu
1144,Victory,Gloo,Beatrix,Khufra,Aamon,Pharsa
1145,Defeat,Paquito,Khufra,Melissa,Bane,Valentina
1146,Defeat,Pharsa,Karrie,Minsitthar,Lolita,Ling
1147,Victory,Esmeralda,Wanwan,Franco,Lunox,Ling
1148,Victory,Thamuz,Karrie,Hilda,Joy,Xavier
1149,Defeat,Khufra,Wanwan,Minsitthar,Kagura,Hayabusa
1150,Defeat,Pharsa,Lapu-Lapu,Kaja,Fredrinn,Beatrix
1151,Defeat,Joy,Beatrix,Edith,Lylia,Lolita
1152,Defeat,Valentina,Khufra,Minsitthar,Harith,Pharsa
1153,Victory,Pharsa,Terizla,Melissa,Ling,Khufra
1154,Defeat,Arlott,Wanwan,Kadita,Carmilla,Leomord
1155,Defeat,Pharsa,Lolita,Terizla,Aamon,Wanwan
1156,Defeat,Kaja,Lunox,Brody,Yu Zhong,Martis
1157,Defeat,Edith,Khufra,Phoveus,Pharsa,Granger
1158,Victory,Pharsa,Yu Zhong,Brody,Franco,Fredrinn
1159,Defeat,Arlott,Julian,Beatrix,Chou,Harith
1160,Defeat,Kaja,Lesley,Ling,Esmeralda,Pharsa
1161,Defeat,Kaja,Lapu-Lapu,Pharsa,Wanwan,Martis
1162,Defeat,Khufra,Moskov,Valentina,Ling,Lapu-Lapu
1163,Defeat,Khufra,Lesley,Faramis,Ruby,Fanny
1164,Victory,Valentina,Karrie,Ling,Dyrroth,Kaja
1165,Defeat,Faramis,Lancelot,Karrie,Martis,Franco
1166,Victory,Faramis,Karrie,Fanny,Edith,Kaja
1167,Victory,Valentina,Karrie,Kaja,Yu Zhong,Fanny
1168,Defeat,Valentina,Chou,Joy,Khufra,Hanabi
1169,Victory,Arlott,Karrie,Fanny,Cecilion,Kaja
1170,Victory,Kaja,Lapu-Lapu,Pharsa,Fanny,Clint
1171,Victory,Minsitthar,Franco,Pharsa,Lesley,Fanny
1172,Victory,Melissa,Terizla,Fanny,Lunox,Kaja
1173,Victory,Faramis,Beatrix,Fanny,Dyrroth,Kaja
1174,Defeat,Gloo,Kaja,Lesley,Xavier,Ling
1175,Defeat,Akai,Lesley,Valentina,Fredrinn,Khufra
1176,Victory,Faramis,Martis,Terizla,Brody,Kaja
1177,Defeat,Clint,Khufra,Pharsa,Jawhead,Hayabusa
1178,Victory,Xavier,Fredrinn,Khufra,Freya,Lesley
1179,Victory,Joy,Kaja,Pharsa,Ling,Karrie
1180,Victory,Melissa,Jawhead,Valentina,Chou,Angela
1181,Victory,Lapu-Lapu,Jawhead,Beatrix,Xavier,Ruby
1182,Victory,Edith,Xavier,Kaja,Jawhead,Brody
1183,Defeat,Valentina,Kaja,Nana,Claude,Jawhead
1184,Defeat,Jawhead,Angela,Lapu-Lapu,Brody,Valentina
1185,Victory,Jawhead,Moskov,Alice,Freya,Angela
1186,Victory,Martis,Xavier,Jawhead,Irithel,Angela
1187,Victory,Minsitthar,Xavier,Kimmy,Ruby,Jawhead
1188,Victory,Lesley,Jawhead,Xavier,Guinevere,Franco
1189,Victory,Angela,Brody,Jawhead,Badang,Xavier
1190,Victory,Jawhead,Angela,Lapu-Lapu,Beatrix,Valir
1191,Victory,Jawhead,Edith,Angela,Pharsa,Miya
1192,Victory,Kagura,Bane,Claude,Tigreal,Aldous
1193,Victory,Lapu-Lapu,Tigreal,Odette,Clint,Fredrinn
1194,Victory,Cecilion,Aamon,Tigreal,Claude,Martis
1195,Defeat,Tigreal,Beatrix,Martis,Vexana,Aamon
1196,Victory,Miya,Joy,Tigreal,Odette,Hayabusa
1197,Defeat,Xavier,Hanabi,Tigreal,Aamon,Lapu-Lapu
1198,Victory,Clint,Martis,Tigreal,Yin,Vale
1199,Defeat,Melissa,Lunox,Roger,Gusion,Khufra
1200,Victory,Terizla,Bruno,Tigreal,Cecilion,Aamon
1201,Defeat,Valentina,Beatrix,Edith,Fanny,Lapu-Lapu
1202,Defeat,Valentina,Gusion,Grock,Moskov,Lolita
1203,Victory,Tigreal,Lapu-Lapu,Joy,Claude,Yve
1204,Victory,Tigreal,Pharsa,Clint,Aldous,Ling
1205,Defeat,Moskov,Lolita,Xavier,Freya,Ling
1206,Defeat,Gloo,Franco,Luo Yi,Clint,Fanny
1207,Defeat,Faramis,Hanzo,Diggie,Hilda,Moskov
1208,Defeat,Faramis,Aamon,Esmeralda,Brody,Pharsa
1209,Defeat,Valentina,Esmeralda,Franco,Brody,Martis
1210,Victory,Kaja,Wanwan,Alpha,Luo Yi,Aamon
1211,Victory,Kaja,Wanwan,Luo Yi,Lapu-Lapu,Aamon
1212,Defeat,Gloo,Ling,Yve,Minotaur,Wanwan
1213,Victory,Joy,Valentina,Minotaur,Ling,Wanwan
1214,Victory,Arlott,Minotaur,Pharsa,Beatrix,Fanny
1215,Victory,Arlott,Ling,Wanwan,Minotaur,Pharsa
1216,Victory,Gloo,Minotaur,Wanwan,Ling,Pharsa
1217,Victory,Wanwan,Minotaur,Chou,Ling,Yve
1218,Defeat,Pharsa,Khufra,Melissa,Chou,Jawhead
1219,Victory,Melissa,Minsitthar,Chou,Aamon,Harley
1220,Defeat,Luo Yi,Aamon,Miya,Franco,Badang
1221,Victory,Faramis,Beatrix,Aamon,Kaja,Yu Zhong
1222,Defeat,Faramis,Khufra,Wanwan,Fanny,Lapu-Lapu
1223,Victory,Kaja,Aamon,Xavier,Grock,Wanwan
1224,Victory,Brody,Aamon,Kaja,Gord,Franco
1225,Defeat,Faramis,Yi Sun-shin,Aldous,Brody,Khufra
1226,Victory,Martis,Valentina,Guinevere,Atlas,Natan
1227,Defeat,Saber,Hanabi,Freya,Hanzo,Kimmy
1228,Defeat,Pharsa,Claude,Khufra,Guinevere,Hanzo
1229,Victory,Joy,Khufra,Beatrix,Pharsa,Guinevere
1230,Defeat,Martis,Irithel,Khufra,Guinevere,Harley
1231,Victory,Khufra,Fanny,Kadita,Guinevere,Claude
1232,Victory,Xavier,Khufra,Moskov,Yin,Guinevere
1233,Victory,Valentina,Khufra,Guinevere,Brody,Badang
1234,Victory,Guinevere,Lesley,Khufra,Xavier,Fredrinn
1235,Defeat,Khufra,Yve,Guinevere,Beatrix,Fanny
1236,Defeat,Valentina,Kimmy,Ruby,Estes,Julian
1237,Victory,Beatrix,Kimmy,Aamon,Martis,Hilda
1238,Victory,Moskov,Khufra,Valentina,Guinevere,X.Borg
1239,Victory,Khufra,Beatrix,Guinevere,Eudora,Argus
1240,Defeat,Gusion,Khufra,Guinevere,Chou,Clint
1241,Victory,Khufra,Yin,Melissa,Guinevere,Valentina
1242,Defeat,Melissa,Angela,Guinevere,Barats,Valentina
1243,Victory,Guinevere,Hayabusa,Kagura,Brody,Selena
1244,Victory,Kimmy,Xavier,Kaja,Wanwan,Terizla
1245,Defeat,Cyclops,Gusion,Franco,Masha,Lesley
1246,Defeat,Faramis,Gusion,Masha,Sun,Claude
1247,Victory,Masha,Valir,Lancelot,Tigreal,Lesley
1248,Victory,Chou,Brody,Masha,Ling,Valentina
1249,Victory,Masha,Lesley,Kaja,Lunox,Martis
1250,Defeat,Martis,Uranus,Pharsa,Karrie,Masha
1251,Victory,Masha,Eudora,Clint,Dyrroth,Minotaur
1252,Victory,Melissa,Masha,Fanny,Hilda,Aldous
1253,Defeat,Masha,Martis,Kaja,Clint,Change
1254,Victory,Masha,Gatotkaca,Moskov,Cecilion,Saber
1255,Defeat,Masha,Moskov,Freya,Franco,Kagura
1256,Victory,Masha,Kaja,Gusion,Moskov,Granger
1257,Victory,Masha,Jawhead,Lesley,Selena,Valir
1258,Victory,Masha,Lylia,Atlas,Clint,Julian
1259,Victory,Melissa,Valir,Minsitthar,Masha,Freya
1260,Victory,Masha,Moskov,Tigreal,Freya,Vexana
1261,Victory,Vexana,Masha,Gloo,Akai,Melissa
1262,Victory,Masha,Yin,Beatrix,Minsitthar,Valir
1263,Victory,Masha,Hanabi,Vexana,Franco,Martis
1264,Defeat,Masha,Vexana,Dyrroth,Natalia,Lesley
1265,Victory,Gloo,Kadita,Natalia,Claude,Fredrinn
1266,Victory,Grock,Pharsa,Fredrinn,Beatrix,Kadita
1267,Victory,Arlott,Kadita,Pharsa,Claude,Fredrinn
1268,Defeat,Valentina,Khufra,Ling,Minsitthar,Claude
1269,Victory,Valentina,Fredrinn,Claude,Kadita,Hayabusa
1270,Victory,Lapu-Lapu,Pharsa,Melissa,Chou,Ling
1271,Victory,Terizla,Ling,Valentina,Franco,Beatrix
1272,Victory,Joy,Grock,Lancelot,Lesley,Pharsa
1273,Defeat,Arlott,Claude,Lancelot,Kadita,Pharsa
1274,Victory,Gloo,Claude,Hilda,Ling,Pharsa
1275,Victory,Gloo,Fredrinn,Kaja,Claude,Kadita
1276,Defeat,Gloo,Grock,Claude,Kadita,Ling
1277,Victory,Gloo,Claude,Pharsa,Hayabusa,Kaja
1278,Defeat,Lapu-Lapu,Claude,Pharsa,Kaja,Lancelot
1279,Defeat,Kadita,Fredrinn,Wanwan,Lapu-Lapu,Natalia
1280,Victory,Joy,Kadita,Lancelot,Khufra,Beatrix
1281,Victory,Melissa,Lapu-Lapu,Kaja,Hayabusa,Kadita
1282,Victory,Pharsa,Grock,Wanwan,Lapu-Lapu,Ling
1283,Victory,Pharsa,Lancelot,Beatrix,Khufra,Grock
1284,Victory,Kaja,Chou,Wanwan,Yve,Lancelot
1285,Victory,Kadita,Miya,Atlas,Aamon,Zilong
1286,Victory,Faramis,Aamon,Miya,Zilong,Kaja
1287,Victory,Zilong,Aamon,Pharsa,Franco,Moskov
1288,Victory,Faramis,Aamon,Zilong,Franco,Moskov
1289,Victory,Arlott,Aamon,Zilong,Cecilion,Tigreal
1290,Defeat,Arlott,Aamon,Khufra,Moskov,Faramis
1291,Defeat,Arlott,Claude,Martis,Grock,Gusion
1292,Victory,Khufra,Lesley,Pharsa,Yu Zhong,Hayabusa
1293,Victory,Gloo,Kagura,Aamon,Angela,Moskov
1294,Victory,Kagura,Aamon,Zilong,Bruno,Grock
1295,Victory,Kagura,Bruno,Zilong,Aamon,Grock
1296,Victory,Kaja,Clint,Valir,Zilong,Julian
1297,Victory,Zilong,Wanwan,Valentina,Kaja,Aamon
1298,Defeat,Arlott,Pharsa,Franco,Lesley,Julian
1299,Victory,Zilong,Kagura,Miya,Aamon,Saber
1300,Defeat,Cecilion,Miya,Grock,Zilong,Martis
1301,Victory,Melissa,Atlas,Aamon,Valir,Zilong
1302,Victory,Lesley,Pharsa,Atlas,Aamon,Zilong
1303,Victory,Aamon,Joy,Melissa,Atlas,Zilong
1304,Defeat,Arlott,Pharsa,Martis,Aldous,Melissa
1305,Victory,Gloo,Martis,Grock,Zhask,Claude
1306,Victory,Lapu-Lapu,Kadita,Saber,Zhask,Claude
1307,Victory,Estes,Lesley,Lancelot,Zhask,Gord
1308,Victory,Lesley,Thamuz,Harith,Valir,Atlas
1309,Victory,Valentina,Brody,Zhask,Atlas,Lancelot
1310,Victory,Brody,Zhask,Grock,Jawhead,Aamon
1311,Defeat,Freya,Zhask,Lolita,Brody,Martis
1312,Defeat,Brody,Atlas,Julian,Grock,Zhask
1313,Victory,X.Borg,Fredrinn,Beatrix,Franco,Bane
1314,Victory,Edith,Faramis,Zhask,Brody,Lancelot
1315,Defeat,Zhask,Aamon,Fredrinn,Claude,Selena
1316,Victory,Diggie,Zhask,Martis,Layla,Lapu-Lapu
1317,Victory,Akai,Gloo,Martis,Clint,Zhask
1318,Victory,Faramis,Brody,Zhask,Karina,Dyrroth
1319,Defeat,Arlott,Franco,Gloo,Zhask,Moskov
1320,Victory,Gloo,Kagura,Lancelot,Floryn,Zhask
1321,Victory,Minsitthar,Zhask,Angela,Guinevere,Wanwan
1322,Defeat,Melissa,Julian,Lolita,Zhask,Jawhead
1323,Victory,Moskov,Khufra,Aldous,Fanny,Zhask
1324,Defeat,Nana,Lancelot,Moskov,Zhask,Grock
1325,Defeat,Beatrix,Aulus,Kagura,Bane,Atlas
1326,Victory,Melissa,Kagura,Atlas,Paquito,Chou
1327,Defeat,Kagura,X.Borg,Esmeralda,Karrie,Lolita
1328,Victory,Atlas,Lancelot,Pharsa,Esmeralda,Melissa
1329,Victory,Joy,Lolita,Valir,Hayabusa,Wanwan
1330,Victory,Hanabi,Yi Sun-shin,Gloo,Valentina,Kaja
1331,Defeat,Khaleed,Beatrix,Valentina,Yi Sun-shin,Atlas
1332,Defeat,Atlas,Faramis,Lancelot,Wanwan,Gloo
1333,Defeat,Pharsa,Edith,Melissa,Lancelot,Kaja
1334,Defeat,Melissa,Pharsa,Atlas,Lancelot,Freya
1335,Victory,Pharsa,Lapu-Lapu,Melissa,Lancelot,Atlas
1336,Victory,Pharsa,Claude,Martis,Atlas,Edith
1337,Victory,Minsitthar,Atlas,Xavier,Lancelot,Lesley
1338,Defeat,Faramis,Pharsa,Lancelot,Beatrix,Edith
1339,Victory,Claude,Pharsa,Edith,Akai,Atlas
1340,Victory,Pharsa,Lapu-Lapu,Kaja,Claude,Lancelot
1341,Victory,Joy,Pharsa,Atlas,Yi Sun-shin,Lancelot
1342,Defeat,Brody,Kagura,Hayabusa,Selena,Ruby
1343,Defeat,Melissa,Floryn,Xavier,Yu Zhong,Martis
1344,Victory,Xavier,Brody,Gloo,Hayabusa,Kadita
1345,Defeat,Melissa,Franco,Hayabusa,Chou,Gusion
1346,Defeat,Valentina,Khufra,Martis,Hayabusa,Moskov
1347,Victory,Gloo,Franco,Moskov,Hayabusa,Cecilion
1348,Victory,Minsitthar,Hayabusa,Moskov,Lylia,Franco
1349,Victory,Lylia,Hayabusa,Moskov,Floryn,Edith
1350,Defeat,Hayabusa,Karrie,Edith,Floryn,Yve
1351,Defeat,Melissa,Bane,Khufra,Hayabusa,Julian
1352,Defeat,Julian,Brody,Kaja,Hayabusa,Change
1353,Defeat,Franco,Hayabusa,Melissa,Yu Zhong,Julian
1354,Defeat,Brody,Diggie,Valentina,Chou,Hayabusa
1355,Victory,Khufra,Lesley,Julian,Grock,Hayabusa
1356,Victory,Faramis,Hayabusa,X.Borg,Beatrix,Khufra
1357,Defeat,Khufra,Chou,Kadita,Moskov,Hayabusa
1358,Victory,Claude,Alice,Lolita,Xavier,Hayabusa
1359,Defeat,Valentina,Wanwan,Lapu-Lapu,Hayabusa,Lolita
1360,Victory,Pharsa,Hayabusa,Khufra,Moskov,Grock
1361,Defeat,Vale,Granger,Terizla,Franco,Hanabi
1362,Defeat,Terizla,Lancelot,Vale,Atlas,Brody
1363,Victory,Vale,Akai,Terizla,Belerick,Miya
1364,Defeat,Terizla,Harley,Belerick,Vale,Clint
1365,Victory,Belerick,Terizla,Layla,Yin,Vale
1366,Victory,Terizla,Harley,Tigreal,Bruno,Vale
1367,Victory,Vale,Johnson,Terizla,Martis,Hanabi
1368,Victory,Terizla,Tigreal,Vale,Wanwan,Hayabusa
1369,Victory,Badang,Aamon,Vale,Claude,Kaja
1370,Victory,Vale,Julian,Moskov,Franco,Terizla
1371,Victory,Terizla,Lesley,Ling,Angela,Vale
1372,Victory,Vale,Zilong,Irithel,Lancelot,Valir
1373,Defeat,Hilda,Khufra,Vale,Brody,Hayabusa
1374,Defeat,Kagura,Harley,Brody,Akai,Leomord
1375,Defeat,Lunox,Hanzo,Hanabi,Estes,Lapu-Lapu
1376,Victory,Brody,Vale,Harley,Martis,Franco
1377,Victory,Martis,Harley,Hilda,Brody,Vale
1378,Defeat,Vale,Atlas,Lapu-Lapu,Brody,Akai
1379,Victory,Franco,Moskov,Terizla,Hayabusa,Vale
1380,Defeat,Gloo,Yi Sun-shin,Khufra,Lesley,Kagura
1381,Victory,Minsitthar,Dyrroth,Vale,Yi Sun-shin,Wanwan
1382,Victory,Gloo,Yi Sun-shin,Johnson,Brody,Yve
1383,Defeat,Yi Sun-shin,Franco,Benedetta,Pharsa,Karrie
1384,Victory,Gloo,Pharsa,Claude,Yi Sun-shin,Khufra
1385,Victory,Beatrix,Minsitthar,Xavier,Estes,Yi Sun-shin
1386,Victory,Gloo,Brody,Yve,Atlas,Yi Sun-shin
1387,Defeat,Johnson,Badang,Pharsa,Fanny,Moskov
1388,Victory,Martis,Badang,Clint,Selena,Johnson
1389,Victory,Joy,Nana,Hanzo,Wanwan,Johnson
1390,Victory,Badang,Moskov,Gloo,Pharsa,Yin
1391,Victory,Xavier,Beatrix,Badang,Akai,Lancelot
1392,Defeat,Badang,Khufra,Cecilion,Beatrix,Lancelot
1393,Victory,Brody,Badang,Eudora,Akai,Kaja
1394,Victory,Melissa,Hayabusa,Badang,Xavier,Minotaur
1395,Victory,Franco,Karrie,Badang,Cecilion,Freya
1396,Defeat,Estes,Pharsa,Hayabusa,Claude,Badang
1397,Victory,Badang,Belerick,Claude,Hanzo,Vexana
1398,Victory,Arlott,Moskov,Valentina,Diggie,Hanzo
1399,Victory,Lapu-Lapu,Lolita,Valentina,Karrie,Lancelot
1400,Victory,Khufra,Valentina,Karrie,Lancelot,Gloo
1401,Victory,Fredrinn,Pharsa,Claude,Lolita,Lapu-Lapu
1402,Victory,Fredrinn,Aldous,Grock,Claude,Valentina
1403,Victory,Faramis,Fredrinn,Khufra,Moskov,Masha
1404,Defeat,Arlott,Beatrix,Fredrinn,Khufra,Pharsa
1405,Victory,Gloo,Fredrinn,Claude,Lolita,Valentina
1406,Defeat,Gloo,Moskov,Yve,Kaja,Fredrinn
1407,Defeat,Lapu-Lapu,Lolita,Claude,Yve,Baxia
1408,Victory,Valentina,Claude,Baxia,Lapu-Lapu,Khufra
1409,Victory,Arlott,Hanabi,Lancelot,Khufra,Yve
1410,Victory,Arlott,Fredrinn,Valentina,Claude,Lolita
1411,Victory,Joy,Karrie,Fredrinn,Kaja,Pharsa
1412,Victory,Arlott,Claude,Lancelot,Khufra,Valentina
1413,Victory,Valentina,Grock,Fredrinn,Hanabi,Khufra
1414,Victory,Aldous,Khufra,Claude,Julian,Hayabusa
1415,Victory,Gloo,Claude,Pharsa,Kaja,Arlott
1416,Victory,Melissa,Lolita,Valentina,Yu Zhong,Fredrinn
1417,Victory,Joy,Khufra,Lancelot,Lesley,Pharsa
1418,Defeat,Khufra,Lesley,Terizla,Harith,Alice
1419,Defeat,Moskov,Zilong,Brody,Hayabusa,Harley
1420,Victory,Ling,Lunox,Gloo,Harith,Balmond
1421,Victory,Pharsa,Khufra,Beatrix,Harith,Gloo
1422,Defeat,Wanwan,Harith,Harley,Esmeralda,Khufra
1423,Victory,Minsitthar,Cecilion,Claude,Leomord,Harith
1424,Defeat,Franco,Yve,Brody,Harith,Lapu-Lapu
1425,Defeat,Estes,Granger,Argus,Lesley,Pharsa
1426,Victory,Vale,Harith,Guinevere,Khufra,Beatrix
1427,Victory,Badang,Harith,Franco,Vale,Popol and Kupa
1428,Victory,Pharsa,Harith,Melissa,Paquito,Lolita
1429,Victory,Edith,Franco,Harith,Claude,Pharsa
1430,Victory,Pharsa,Brody,Aldous,Franco,Harith
1431,Victory,Estes,Beatrix,Pharsa,Thamuz,Harith
1432,Victory,Estes,Esmeralda,Fredrinn,Irithel,Pharsa
1433,Victory,Pharsa,Beatrix,Yu Zhong,Atlas,Harith
1434,Victory,Pharsa,Franco,Yi Sun-shin,Kimmy,Edith
1435,Victory,Yi Sun-shin,Claude,Martis,Edith,Lylia
1436,Victory,Belerick,Yi Sun-shin,Brody,Harith,Jawhead
1437,Victory,Minsitthar,Lylia,Alucard,Yi Sun-shin,Moskov
1438,Defeat,Brody,Thamuz,Xavier,Lancelot,Khufra
1439,Victory,Melissa,Yi Sun-shin,Gloo,Kadita,Xavier
1440,Victory,Yi Sun-shin,Beatrix,Grock,Lapu-Lapu,Harith
1441,Victory,Franco,Wanwan,Yi Sun-shin,Xavier,Yu Zhong
1442,Victory,Melissa,Xavier,Yi Sun-shin,Benedetta,Franco
1443,Victory,Yi Sun-shin,Alice,Jawhead,Beatrix,Fredrinn
1444,Victory,Diggie,Edith,Yi Sun-shin,Brody,Valentina
1445,Victory,Kagura,Lesley,Yi Sun-shin,Franco,Bane
1446,Defeat,Martis,Beatrix,Julian,Yi Sun-shin,Nana
1447,Victory,Melissa,Yi Sun-shin,Julian,Xavier,Belerick
1448,Victory,Joy,Fanny,Chou,Pharsa,Beatrix
1449,Victory,Kaja,Claude,Fredrinn,Valentina,Julian
1450,Victory,Arlott,Beatrix,Valentina,Kaja,Hayabusa
1451,Victory,Arlott,Franco,Fredrinn,Claude,Valentina
1452,Victory,Gloo,Kadita,Natalia,Claude,Fredrinn
1453,Victory,Grock,Pharsa,Fredrinn,Beatrix,Kadita
1454,Victory,Arlott,Kadita,Pharsa,Claude,Fredrinn
1455,Defeat,Valentina,Khufra,Ling,Minsitthar,Claude
1456,Victory,Valentina,Fredrinn,Claude,Kadita,Hayabusa
1457,Victory,Lapu-Lapu,Pharsa,Melissa,Chou,Ling
1458,Victory,Terizla,Ling,Valentina,Franco,Beatrix
1459,Victory,Joy,Grock,Lancelot,Lesley,Pharsa
1460,Defeat,Arlott,Claude,Lancelot,Kadita,Pharsa
1461,Victory,Gloo,Claude,Hilda,Ling,Pharsa
1462,Victory,Gloo,Fredrinn,Kaja,Claude,Kadita
1463,Victory,Valentina,Lapu-Lapu,Fanny,Lolita,Lesley
1464,Victory,Khufra,Hayabusa,Fredrinn,Pharsa,Lesley
1465,Victory,Yve,Lesley,Fanny,Edith,Martis
1466,Victory,Yve,Fanny,Kaja,Bane,Lesley
1467,Victory,Melissa,Aldous,Johnson,Lancelot,Kadita
1468,Victory,Gloo,Claude,Atlas,Fredrinn,Valentina
1469,Victory,Melissa,Faramis,Lapu-Lapu,Kaja,Fredrinn
1470,Victory,Melissa,Fredrinn,Chou,Grock,Kadita
